"Longitude","Latitude","GridID","TileID"
126.506,44.5708,3346149,186
126.518,44.5708,3346150,186
126.529,44.5708,3346151,186
126.541,44.5708,3346152,186
126.553,44.5708,3346153,186
126.565,44.5708,3346154,186
126.576,44.5708,3346155,186
126.588,44.5708,3346156,186
126.6,44.5708,3346157,186
126.611,44.5708,3346158,186
126.623,44.5708,3346159,186
126.635,44.5708,3346160,186
126.646,44.5708,3346161,186
126.658,44.5708,3346162,186
126.67,44.5708,3346163,186
126.682,44.5708,3346164,186
126.693,44.5708,3346165,186
126.705,44.5708,3346166,186
126.717,44.5708,3346167,186
126.728,44.5708,3346168,186
126.74,44.5708,3346169,186
126.752,44.5708,3346170,186
126.763,44.5708,3346171,186
126.775,44.5708,3346172,186
126.787,44.5708,3346173,186
126.799,44.5708,3346174,186
126.81,44.5708,3346175,186
126.822,44.5708,3346176,186
126.834,44.5708,3346177,186
126.845,44.5708,3346178,186
126.857,44.5708,3346179,186
126.869,44.5708,3346180,186
126.88,44.5708,3346181,186
126.892,44.5708,3346182,186
126.904,44.5708,3346183,186
126.916,44.5708,3346184,186
126.927,44.5708,3346185,186
126.939,44.5708,3346186,186
126.951,44.5708,3346187,186
126.962,44.5708,3346188,186
126.974,44.5708,3346189,186
126.986,44.5708,3346190,186
126.997,44.5708,3346191,186
126.324,44.5625,3346546,186
126.336,44.5625,3346547,186
126.348,44.5625,3346548,186
126.359,44.5625,3346549,186
126.371,44.5625,3346550,186
126.383,44.5625,3346551,186
126.394,44.5625,3346552,186
126.406,44.5625,3346553,186
126.418,44.5625,3346554,186
126.429,44.5625,3346555,186
126.441,44.5625,3346556,186
126.453,44.5625,3346557,186
126.465,44.5625,3346558,186
126.476,44.5625,3346559,186
126.488,44.5625,3346560,186
126.5,44.5625,3346561,186
126.511,44.5625,3346562,186
126.523,44.5625,3346563,186
126.535,44.5625,3346564,186
126.546,44.5625,3346565,186
126.558,44.5625,3346566,186
126.57,44.5625,3346567,186
126.582,44.5625,3346568,186
126.593,44.5625,3346569,186
126.605,44.5625,3346570,186
126.617,44.5625,3346571,186
126.628,44.5625,3346572,186
126.64,44.5625,3346573,186
126.652,44.5625,3346574,186
126.663,44.5625,3346575,186
126.675,44.5625,3346576,186
126.687,44.5625,3346577,186
126.698,44.5625,3346578,186
126.71,44.5625,3346579,186
126.722,44.5625,3346580,186
126.734,44.5625,3346581,186
126.745,44.5625,3346582,186
126.757,44.5625,3346583,186
126.769,44.5625,3346584,186
126.78,44.5625,3346585,186
126.792,44.5625,3346586,186
126.804,44.5625,3346587,186
126.815,44.5625,3346588,186
126.827,44.5625,3346589,186
126.839,44.5625,3346590,186
126.851,44.5625,3346591,186
126.862,44.5625,3346592,186
126.874,44.5625,3346593,186
126.886,44.5625,3346594,186
126.897,44.5625,3346595,186
126.909,44.5625,3346596,186
126.921,44.5625,3346597,186
126.932,44.5625,3346598,186
126.944,44.5625,3346599,186
126.956,44.5625,3346600,186
126.968,44.5625,3346601,186
126.979,44.5625,3346602,186
126.991,44.5625,3346603,186
126.306,44.5542,3346959,186
126.318,44.5542,3346960,186
126.33,44.5542,3346961,186
126.341,44.5542,3346962,186
126.353,44.5542,3346963,186
126.365,44.5542,3346964,186
126.376,44.5542,3346965,186
